1.0079	H	
4.0026	He	
6.941	Li	
9.0122	Be	
10.811	B	
12.0107	C	
14.0067	N	
15.9994	O	
18.9984	F	
20.1797	Ne	
22.9897	Na	
24.305	Mg	
26.9815	Al	
28.0855	Si	
30.9738	P	
32.065	S	
35.453	Cl	
39.0983	K	
39.948	Ar	
40.078	Ca	
44.9559	Sc	
47.867	Ti	
50.9415	V	
51.9961	Cr	
54.938	Mn	
55.845	Fe	
58.6934	Ni	
58.9332	Co	
63.546	Cu	
65.39	Zn	
69.723	Ga	
72.64	Ge	
74.9216	As	
78.96	Se	
79.904	Br	
83.8	Kr	
85.4678	Rb	
87.62	Sr	
88.9059	Y	
91.224	Zr	
92.9064	Nb	
95.94	Mo	
98	Tc	
101.07	Ru	
102.9055	Rh	
106.42	Pd	
107.8682	Ag	
112.411	Cd	
114.818	In	
118.71	Sn	
121.76	Sb	
126.9045	I	
127.6	Te	
131.293	Xe	
132.9055	Cs	
137.327	Ba	
138.9055	La	
140.116	Ce	
140.9077	Pr	
144.24	Nd	
145	Pm	
150.36	Sm	
151.964	Eu	
157.25	Gd	
158.9253	Tb	
162.5	Dy	
164.9303	Ho	
167.259	Er	
168.9342	Tm	
173.04	Yb	
174.967	Lu	
178.49	Hf	
180.9479	Ta	
183.84	W	
186.207	Re	
190.23	Os	
192.217	Ir	
195.078	Pt	
196.9665	Au	
200.59	Hg	
204.3833	Tl	
207.2	Pb	
208.9804	Bi	
209	Po	
210	At	
222	Rn	
223	Fr	
226	Ra	
227	Ac	
231.0359	Pa	
232.0381	Th	
237	Np	
238.0289	U	
243	Am	
244	Pu	
247	Cm	
247	Bk	
251	Cf	
252	Es	
257	Fm	
258	Md	
259	No	
261	Rf	
262	Lr	
262	Db	
264	Bh	
266	Sg	
268	Mt	
272	Rg	
277	Hs	
